Dev2/ai0	Dev2/ai1	Dev2/ai2	Dev2/ai3	Dev2/ai4	Dev2/ai5	Dev2/ai6	Dev2/ai7	Dev2/ai8	Dev2/ai9	Dev2/ai10	Dev2/ai11	Dev2/ai12	Dev2/ai13	Dev2/ai14	Dev2/ai15	
-1.895142e-001	-1.617432e-001	-1.748657e-001	-1.580811e-001	-1.782227e-001	-1.644897e-001	-1.870728e-001	-2.746582e-002	-4.669189e-002	-1.037598e-002	-2.136230e-002	-6.713867e-003	-2.624512e-002	-1.251221e-002	0.000000e+000	1.144409e-001	
-1.885986e-001	-1.602173e-001	-1.733398e-001	-1.568604e-001	-1.770020e-001	-1.632690e-001	-1.858521e-001	-2.563477e-002	-4.608154e-002	-9.460449e-003	-2.044678e-002	-5.187988e-003	-2.532959e-002	-1.129150e-002	3.051758e-004	1.144409e-001	
-1.876831e-001	-1.593018e-001	-1.721191e-001	-1.556396e-001	-1.757813e-001	-1.617432e-001	-1.843262e-001	-2.380371e-002	-4.516602e-002	-8.239746e-003	-1.922607e-002	-4.882813e-003	-2.441406e-002	-1.007080e-002	-3.051758e-004	1.141357e-001	
-1.867676e-001	-1.577759e-001	-1.712036e-001	-1.544189e-001	-1.742554e-001	-1.605225e-001	-1.828003e-001	-2.258301e-002	-4.486084e-002	-7.629395e-003	-1.892090e-002	-3.662109e-003	-2.349854e-002	-9.155273e-003	3.051758e-004	1.141357e-001	
-1.861572e-001	-1.568604e-001	-1.699829e-001	-1.531982e-001	-1.730347e-001	-1.589966e-001	-1.812744e-001	-2.075195e-002	-4.333496e-002	-7.019043e-003	-1.770020e-002	-2.746582e-003	-2.258301e-002	-8.239746e-003	0.000000e+000	1.138306e-001	
-1.852417e-001	-1.562500e-001	-1.690674e-001	-1.516724e-001	-1.718140e-001	-1.577759e-001	-1.800537e-001	-1.922607e-002	-4.272461e-002	-6.103516e-003	-1.739502e-002	-2.136230e-003	-2.166748e-002	-7.019043e-003	-3.051758e-004	1.141357e-001	
-1.846313e-001	-1.550293e-001	-1.678467e-001	-1.507568e-001	-1.708984e-001	-1.565552e-001	-1.785278e-001	-1.770020e-002	-4.180908e-002	-5.493164e-003	-1.647949e-002	-1.220703e-003	-2.075195e-002	-6.408691e-003	3.051758e-004	1.141357e-001	
-1.834106e-001	-1.544189e-001	-1.669312e-001	-1.495361e-001	-1.693726e-001	-1.553345e-001	-1.773071e-001	-1.647949e-002	-4.150391e-002	-4.882813e-003	-1.556396e-002	-3.051758e-004	-1.983643e-002	-5.493164e-003	0.000000e+000	1.141357e-001	
-1.824951e-001	-1.531982e-001	-1.660156e-001	-1.486206e-001	-1.681519e-001	-1.541138e-001	-1.760864e-001	-1.495361e-002	-4.119873e-002	-4.272461e-003	-1.464844e-002	3.051758e-004	-1.892090e-002	-4.577637e-003	-3.051758e-004	1.144409e-001	
-1.818848e-001	-1.522827e-001	-1.647949e-001	-1.473999e-001	-1.675415e-001	-1.525879e-001	-1.748657e-001	-1.342773e-002	-4.058838e-002	-3.356934e-003	-1.403809e-002	9.155273e-004	-1.831055e-002	-3.967285e-003	0.000000e+000	1.144409e-001	
